Disease,Symptom_1,Symptom_2,Symptom_3
Alcoholic hepatitis, vomiting, yellowish_skin, abdominal_pain
Paralysis (brain hemorrhage), vomiting, headache, weakness_of_one_body_side
Gastroenteritis, vomiting, sunken_eyes, dehydration
Tuberculosis, chills, vomiting, fatigue
Drug Reaction,itching, skin_rash, stomach_pain
Impetigo, skin_rash, high_fever, blister
hepatitis A, joint_pain, vomiting, yellowish_skin
Psoriasis, skin_rash, joint_pain, skin_peeling
Heart attack, vomiting, breathlessness, sweating
AIDS, muscle_wasting, patches_in_throat, high_fever
Common Cold, continuous_sneezing, chills, fatigue
Cervical spondylosis, back_pain, weakness_in_limbs, neck_pain
Dengue, skin_rash, chills, joint_pain
Bronchial Asthma, fatigue, cough, high_fever
Malaria, chills, vomiting, high_fever
Hyperthyroidism, fatigue, mood_swings, weight_loss
Chicken pox,itching, skin_rash, fatigue
Arthritis, muscle_weakness, stiff_neck, swelling_joints
Osteoarthristis, joint_pain, neck_pain, knee_pain
Fungal infection,itching, skin_rash, nodal_skin_eruptions
Pneumonia, chills, fatigue, cough
Peptic ulcer diseae, vomiting, loss_of_appetite, abdominal_pain
Migraine, acidity, indigestion, headache
Allergy, continuous_sneezing, shivering, chills
Varicose veins, fatigue, cramps, bruising
Hepatitis C, fatigue, yellowish_skin, nausea
GERD, stomach_pain, acidity, ulcers_on_tongue
Hypothyroidism, fatigue, weight_gain, cold_hands_and_feets
Acne, skin_rash, pus_filled_pimples, blackheads
Chronic cholestasis,itching, vomiting, yellowish_skin
(vertigo) Paroymsal  Positional Vertigo, vomiting, headache, nausea
Hepatitis E, joint_pain, vomiting, fatigue
Hypoglycemia, vomiting, fatigue, anxiety
Hypertension , headache, chest_pain, dizziness
Hepatitis D, joint_pain, vomiting, fatigue
Typhoid, chills, vomiting, fatigue
Hepatitis B,itching, fatigue, lethargy
Diabetes , fatigue, weight_loss, restlessness
Jaundice,itching, vomiting, fatigue
Dimorphic hemmorhoids(piles), constipation, pain_during_bowel_movements, pain_in_anal_region
Urinary tract infection, burning_micturition, bladder_discomfort, foul_smell_of urine
